Payment type,Payment sub type,Count,Amount,Tips,Grat,Taxes,Discounts,Refunds,Sales refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
CASH,,7,124.95,0,0.0,8.2,0.0,0,0,0,0.00,124.95,0.0
CREDIT,,33,3175.34,386.1,113.36,165.84,0.0,0,0,0,386.10,3674.80,16.6
CREDIT,AMEX,2,151.52,25.0,0.0,9.92,0.0,0,0,0,25.00,176.52,17.7
CREDIT,DISCOVER,1,90.77,20.0,0.0,5.92,0.0,0,0,0,20.00,110.77,23.6
CREDIT,MASTERCARD,7,497.51,70.0,0.0,22.73,0.0,0,0,0,70.00,567.51,14.7
CREDIT,VISA,23,2435.54,271.1,113.36,127.27,0.0,0,0,0,271.10,2820.00,16.7
GIFTCARD,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
OTHER,,4,197.29,0.0,0.0,12.89,0.0,0,0,0,0.00,197.29,0.0
OTHER,Door Dash,3,151.44,0.0,0.0,9.89,0.0,0,0,0,0.00,151.44,0.0
OTHER,Grubhub,1,45.85,0.0,0.0,3.0,0.0,0,0,0,0.00,45.85,0.0
